platform,data_set_sizes,peak_memory_usage
qiskit,20,1.5878567695617676
qiskit,30,3.675075340270996
qiskit,40,6.366038131713867
qiskit,50,10.668289184570312
qiskit,60,15.018288040161133
qiskit,70,19.59635486602783
qiskit,80,24.28041410446167
qiskit,90,31.955804538726806
qiskit,100,36.68018741607666
pennylane,20,0.3100926399230957
pennylane,30,0.3634157180786133
pennylane,40,0.6043782234191895
pennylane,50,0.9471300125122071
pennylane,60,1.4070960998535156
pennylane,70,2.053112030029297
pennylane,80,2.0099321365356446
pennylane,90,3.5266236305236816
pennylane,100,3.1061196327209473
cirq,20,0.2060786247253418
cirq,30,0.35087003707885744
cirq,40,0.6095236778259278
cirq,50,0.9749119758605957
cirq,60,1.4485513687133789
cirq,70,2.136068916320801
cirq,80,2.1450493812561033
cirq,90,3.658967208862305
cirq,100,3.2841985702514647
qulacs,20,0.13699378967285156
qulacs,30,0.3044299125671387
qulacs,40,0.5399024963378907
qulacs,50,0.8716193199157715
qulacs,60,1.3197071075439453
qulacs,70,1.9515749931335449
qulacs,80,1.8924872398376464
qulacs,90,3.3919082641601563
qulacs,100,2.950112247467041
qsimcirq,20,0.20656471252441405
qsimcirq,30,0.3354482650756836
qsimcirq,40,0.5898238182067871
qsimcirq,50,0.9575322151184082
qsimcirq,60,1.4410987854003907
qsimcirq,70,2.1045594215393066
qsimcirq,80,2.0998992919921875
qsimcirq,90,3.653514003753662
qsimcirq,100,3.287074089050293
myQLM,20,0.5393305778503418
myQLM,30,2.3162693977355957
myQLM,40,2.6948054313659666
myQLM,50,4.621944236755371
myQLM,60,6.089923572540283
myQLM,70,8.196542453765868
myQLM,80,9.635910320281983
myQLM,90,13.222611045837402
myQLM,100,14.507370090484619
qibojit,20,0.3025992393493652
qibojit,30,0.33959617614746096
qibojit,40,0.5809768676757813
qibojit,50,0.9259905815124512
qibojit,60,1.390066432952881
qibojit,70,2.0406965255737304
qibojit,80,2.003085899353027
qibojit,90,3.527004528045654
qibojit,100,3.1125003814697267
